1	N	45
2	N	46
2	J	47
1	W	47
2	R	47
3	N	64
3	J	65
2	J	69
3	R	69
3	W	75
2	R	75
2	E	77
1	J	77
1	R	77
4	N	77
4	J	78
1	W	78
4	R	78
5	N	114
5	J	115
4	J	115
5	R	115
5	E	118
4	R	118
4	W	124
0	R	125
4	J	269
4	R	269
4	W	269
0	R	269
4	J	291
4	R	291
4	W	291
0	R	291
4	J	357
4	R	357
4	W	357
0	R	357
4	J	507
4	R	507
4	W	507
0	R	507
4	J	537
4	R	537
4	W	537
0	R	537
4	J	567
4	R	567
4	W	567
0	R	567
4	J	584
4	R	584
4	W	584
0	R	584
4	J	627
4	R	627
4	W	627
0	R	627
4	J	632
4	R	632
4	W	632
0	R	632
4	J	657
4	R	657
4	W	657
0	R	657
4	J	687
4	R	687
4	W	687
0	R	687
4	J	717
4	R	717
4	W	717
0	R	717
4	J	722
4	R	722
4	W	722
0	R	722
4	J	747
4	R	747
4	W	747
0	R	747
4	J	777
4	R	777
6	N	778
6	J	779
4	W	779
6	R	779
7	N	781
7	J	782
8	N	783
8	J	784
6	J	784
8	R	784
8	J	789
7	R	789
7	J	794
8	R	794
8	J	799
7	R	799
7	J	804
6	R	804
9	N	804
9	J	805
10	N	805
10	J	806
11	N	807
11	J	807
12	N	808
12	J	809
6	J	809
12	R	809
12	J	814
11	R	814
11	J	819
10	R	819
10	J	824
9	R	824
9	J	829
12	R	829
12	J	834
11	R	834
11	J	839
10	R	839
10	J	844
9	R	844
9	J	849
8	R	849
8	J	854
7	R	854
7	J	859
6	R	859
13	N	859
13	J	860
14	N	860
14	J	861
15	N	862
15	J	862
16	N	863
16	J	864
6	J	864
16	R	864
16	J	869
15	R	869
15	J	874
14	R	874
14	J	879
13	R	879
13	J	884
16	R	884
16	J	889
15	R	889
15	J	894
14	R	894
14	J	899
13	R	899
13	J	904
12	R	904
12	J	909
11	R	909
11	J	914
10	R	914
10	J	919
9	R	919
9	J	924
8	R	924
8	J	929
7	R	929
7	J	934
6	R	934
6	W	934
16	R	934
16	J	939
15	R	939
15	J	944
14	R	944
14	J	949
13	R	949
13	J	954
12	R	954
12	J	959
11	R	959
11	J	964
10	R	964
10	J	969
9	R	969
9	J	974
8	R	974
8	J	979
7	R	979
7	J	984
16	R	984
16	J	989
15	R	989
15	J	994
14	R	994
14	J	999
13	R	999
13	J	1004
12	R	1004
12	J	1009
11	R	1009
11	J	1014
10	R	1014
10	J	1019
9	R	1019
9	J	1024
8	R	1024
8	J	1029
7	R	1029
7	J	1034
16	R	1034
16	J	1039
15	R	1039
15	J	1044
14	R	1044
14	J	1049
13	R	1049
13	J	1054
12	R	1054
12	J	1059
11	R	1059
11	J	1064
10	R	1064
10	J	1069
9	R	1069
9	J	1074
8	R	1074
8	J	1079
7	R	1079
7	J	1084
16	R	1084
16	J	1089
15	R	1089
15	J	1094
14	R	1094
14	J	1099
13	R	1099
13	J	1104
12	R	1104
12	J	1109
11	R	1109
11	J	1114
10	R	1114
10	J	1119
9	R	1119
9	J	1124
8	R	1124
8	J	1129
7	R	1129
7	J	1134
16	R	1134
16	J	1139
15	R	1139
15	J	1144
14	R	1144
14	J	1149
13	R	1149
13	J	1154
12	R	1154
12	J	1159
11	R	1159
11	J	1164
10	R	1164
10	J	1169
9	R	1169
9	J	1174
8	R	1174
8	J	1179
7	R	1179
7	J	1184
16	R	1184
16	J	1189
15	R	1189
15	J	1194
14	R	1194
14	J	1199
13	R	1199
13	J	1204
12	R	1204
12	J	1209
11	R	1209
11	J	1214
10	R	1214
10	J	1219
9	R	1219
9	J	1224
8	R	1224
8	J	1229
7	R	1229
7	J	1234
16	R	1234
16	J	1239
15	R	1239
15	J	1244
14	R	1244
14	J	1249
13	R	1249
13	J	1254
12	R	1254
12	J	1259
11	R	1259
11	J	1264
10	R	1264
10	J	1269
9	R	1269
9	J	1274
8	R	1274
8	J	1279
7	R	1279
7	J	1284
16	R	1284
16	J	1289
15	R	1289
15	J	1294
14	R	1294
14	J	1299
13	R	1299
13	J	1304
12	R	1304
12	J	1309
11	R	1309
11	J	1314
10	R	1314
10	J	1319
9	R	1319
9	J	1324
8	R	1324
8	J	1329
7	R	1329
7	J	1334
16	R	1334
16	J	1339
15	R	1339
15	J	1344
14	R	1344
14	J	1349
13	R	1349
13	J	1354
12	R	1354
12	J	1359
11	R	1359
11	J	1364
10	R	1364
10	J	1369
9	R	1369
