2	N	57
2	J	79
1	J	79
2	R	79
2	J	114
1	R	114
1	W	114
2	R	114
3	N	129
3	J	141
2	J	145
3	R	145
3	W	156
2	R	156
2	E	158
1	J	159
1	R	159
4	N	159
4	J	182
1	W	183
4	R	183
5	N	257
5	J	270
4	J	271
5	R	271
5	E	275
4	R	275
4	W	287
0	R	287
4	J	477
4	R	477
4	W	478
0	R	478
4	J	597
4	R	597
4	W	597
0	R	597
4	J	627
4	R	627
4	W	627
0	R	627
4	J	807
4	R	807
4	W	807
0	R	807
4	J	812
4	R	812
4	W	812
0	R	812
4	J	837
4	R	837
4	W	837
0	R	837
4	J	843
4	R	843
4	W	843
0	R	843
4	J	867
4	R	867
4	W	867
0	R	867
4	J	897
4	R	897
4	W	897
0	R	897
4	J	927
4	R	927
4	W	927
0	R	927
4	J	1167
4	R	1167
6	N	1168
6	J	1184
4	J	1184
6	R	1184
6	W	1191
4	R	1191
4	W	1191
0	R	1192
6	J	2192
6	R	2192
6	E	2193
4	J	2193
4	R	2193
7	N	2194
7	J	2210
4	J	2210
7	R	2210
7	E	2214
4	R	2214
4	W	2215
0	R	2215
4	J	2457
4	R	2457
4	W	2457
0	R	2457
4	J	2487
4	R	2487
4	W	2487
0	R	2487
4	J	2492
4	R	2492
4	W	2492
0	R	2492
4	J	2547
4	R	2547
4	W	2547
0	R	2547
4	J	2552
4	R	2552
4	W	2552
0	R	2552
4	J	2589
4	R	2589
4	W	2589
0	R	2589
4	J	2607
4	R	2607
4	W	2607
0	R	2607
4	J	2637
4	R	2637
8	N	2639
8	J	2655
4	J	2655
8	R	2655
